rating_avg,finalist
,Billy Porter - IMDb
,Brian Cox - IMDb
,Jennifer Aniston - IMDb
,Sterling K. Brown - IMDb
,Zendaya - IMDb
,Steve Carell - IMDb
,Jason Bateman - IMDb
,Tyler Perry - IMDb
,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend (TV Movie 2020) - IMDb
,El Camino: A Breaking Bad Movie (2019) - IMDb
,Jeremy Strong - IMDb
,Bad Education (2019) - IMDb
,Unorthodox (TV Mini-Series 2020) - IMDb
,Dolly Parton's Heartstrings (TV Series 2019– ) - IMDb
,Unbelievable (TV Mini-Series 2019) - IMDb
,American Son (2019) - IMDb
,Doctor Who: The Runaway (2019) - IMDb
,"With Social Life
(Sorted by Popularity Ascending) - IMDb"
,Seth Meyers: Lobby Baby (2019) - IMDb
,Patton Oswalt: I Love Everything (2020) - IMDb
,Late Night with Seth Meyers (TV Series 2014– ) - IMDb
,Circus of Books (2019) - IMDb
,"With Netflix
(Sorted by Popularity Ascending) - IMDb"
,Don't F**k with Cats: Hunting an Internet Killer (TV Mini-Series 2019) - IMDb
,American Music Awards 2019 (2019) - IMDb
,The Rookie (TV Series 2018– ) - IMDb
,The Blacklist (TV Series 2013– ) - IMDb
,S.W.A.T. (TV Series 2017– ) - IMDb
,Brooklyn Nine-Nine (TV Series 2013– ) - IMDb
,Ballers (TV Series 2015–2019) - IMDb
,Henry Danger (TV Series 2014–2020) - IMDb
,Shameless (TV Series 2011– ) - IMDb
